,Pos,Age,Starts,Player,urls,scouting_url,position_group
10,MF,27.536986301369865,19,Xeka,https://fbref.com/en/players/f3600c02/Xeka,https://fbref.com/en/players/f3600c02/scout/365_euro/Xeka-Scouting-Report,Central Midfielders
11,DF,28.339726027397262,18,Reinildo Mandava,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava,https://fbref.com/en/players/c20bdcd7/scout/365_euro/Reinildo-Mandava-Scouting-Report,Defender
12,"MF,FW",22.252054794520546,17,Timothy Weah,https://fbref.com/en/players/8eec784d/Timothy-Weah,https://fbref.com/en/players/8eec784d/scout/365_euro/Timothy-Weah-Scouting-Report,Attacking Midfielders
13,GK,27.18082191780822,17,Leonardo Cesar Jardim,https://fbref.com/en/players/f5dfc256/Leonardo-Cesar-Jardim,https://fbref.com/en/players/f5dfc256/scout/365_euro/Leonardo-Cesar-Jardim-Scouting-Report,GK
14,"DF,MF",23.07123287671233,15,Gabriel Gudmundsson,https://fbref.com/en/players/d5d22a58/Gabriel-Gudmundsson,https://fbref.com/en/players/d5d22a58/scout/365_euro/Gabriel-Gudmundsson-Scouting-Report,Defender
15,"MF,FW",24.063013698630137,13,Jonathan Ikone,https://fbref.com/en/players/42eaa028/Jonathan-Ikone,https://fbref.com/en/players/42eaa028/scout/365_euro/Jonathan-Ikone-Scouting-Report,Attacking Midfielders
16,"MF,FW",21.731506849315068,12,Angel Gomes,https://fbref.com/en/players/645a3363/Angel-Gomes,https://fbref.com/en/players/645a3363/scout/365_euro/Angel-Gomes-Scouting-Report,Attacking Midfielders
17,MF,20.77260273972603,11,Amadou Onana,https://fbref.com/en/players/828657ff/Amadou-Onana,https://fbref.com/en/players/828657ff/scout/365_euro/Amadou-Onana-Scouting-Report,Central Midfielders
18,"MF,FW",25.317808219178083,5,Yusuf Yazici,https://fbref.com/en/players/f5c8b425/Yusuf-Yazici,https://fbref.com/en/players/f5c8b425/scout/365_euro/Yusuf-Yazici-Scouting-Report,Attacking Midfielders
19,"MF,FW",23.15068493150685,5,Edon Zhegrova,https://fbref.com/en/players/34a88e3e/Edon-Zhegrova,https://fbref.com/en/players/34a88e3e/scout/365_euro/Edon-Zhegrova-Scouting-Report,Attacking Midfielders
20,"FW,MF",35.21643835616438,4,Hatem Ben Arfa,https://fbref.com/en/players/74dc806c/Hatem-Ben-Arfa,https://fbref.com/en/players/74dc806c/scout/365_euro/Hatem-Ben-Arfa-Scouting-Report,Attacking Midfielders
21,"DF,MF",22.454794520547946,2,Domagoj Bradaric,https://fbref.com/en/players/8bbe2df5/Domagoj-Bradaric,https://fbref.com/en/players/8bbe2df5/scout/365_euro/Domagoj-Bradaric-Scouting-Report,Defender
22,"MF,FW",20.123287671232877,2,Isaac Lihadji,https://fbref.com/en/players/57a46f3f/Isaac-Lihadji,https://fbref.com/en/players/57a46f3f/scout/365_euro/Isaac-Lihadji-Scouting-Report,Attacking Midfielders
23,"MF,FW",22.345205479452055,0,Cheikh Niasse,https://fbref.com/en/players/ff20acfe/Cheikh-Niasse,https://fbref.com/en/players/ff20acfe/scout/365_euro/Cheikh-Niasse-Scouting-Report,Attacking Midfielders
24,"DF,FW",33.24931506849315,0,Jeremy Pied,https://fbref.com/en/players/a634b9d2/Jeremy-Pied,https://fbref.com/en/players/a634b9d2/scout/365_euro/Jeremy-Pied-Scouting-Report,Wing-Back
25,MF,16.528767123287672,0,Leny Yoro,https://fbref.com/en/players/6763f716/Leny-Yoro,https://fbref.com/en/players/6763f716/scout/365_euro/Leny-Yoro-Scouting-Report,Central Midfielders
26,FW,18.698630136986303,0,Rocco Ascone,https://fbref.com/en/players/bdf1db39/Rocco-Ascone,https://fbref.com/en/players/bdf1db39/scout/365_euro/Rocco-Ascone-Scouting-Report,Forwards
27,MF,18.389041095890413,0,Carlos Baleba,https://fbref.com/en/players/a1390d2f/Carlos-Baleba,https://fbref.com/en/players/a1390d2f/scout/365_euro/Carlos-Baleba-Scouting-Report,Central Midfielders
28,FW,18.575342465753426,0,Joffrey Bazie,https://fbref.com/en/players/b81610df/Joffrey-Bazie,https://fbref.com/en/players/b81610df/scout/365_euro/Joffrey-Bazie-Scouting-Report,Forwards
29,FW,18.93972602739726,0,Jose Bica,https://fbref.com/en/players/d37aab95/Jose-Bica,https://fbref.com/en/players/d37aab95/scout/365_euro/Jose-Bica-Scouting-Report,Forwards
30,FW,20.36986301369863,0,Capita,https://fbref.com/en/players/13d5fc25/Capita,https://fbref.com/en/players/13d5fc25/scout/365_euro/Capita-Scouting-Report,Forwards
31,DF,25.394520547945206,0,Kouadio Yves Dabila,https://fbref.com/en/players/3067cbef/Kouadio-Yves-Dabila,https://fbref.com/en/players/3067cbef/scout/365_euro/Kouadio-Yves-Dabila-Scouting-Report,Defender
32,GK,25.39178082191781,0,Adam Jakubech,https://fbref.com/en/players/e6951f76/Adam-Jakubech,https://fbref.com/en/players/e6951f76/scout/365_euro/Adam-Jakubech-Scouting-Report,GK
33,FW,20.027397260273972,0,Exauce Mpembele Boula,https://fbref.com/en/players/898b6f0c/Exauce-Mpembele-Boula,https://fbref.com/en/players/898b6f0c/scout/365_euro/Exauce-Mpembele-Boula-Scouting-Report,Forwards
34,MF,22.375342465753423,0,Jean Onana,https://fbref.com/en/players/b5bb8188/Jean-Onana,https://fbref.com/en/players/b5bb8188/scout/365_euro/Jean-Onana-Scouting-Report,Central Midfielders
35,MF,18.865753424657534,0,Ugo Raghouber,https://fbref.com/en/players/7ab92dd1/Ugo-Raghouber,https://fbref.com/en/players/7ab92dd1/scout/365_euro/Ugo-Raghouber-Scouting-Report,Central Midfielders
36,MF,19.2,0,Simon Ramet,https://fbref.com/en/players/ed8cecc9/Simon-Ramet,https://fbref.com/en/players/ed8cecc9/scout/365_euro/Simon-Ramet-Scouting-Report,Central Midfielders
37,GK,18.736986301369864,0,Jules Raux,https://fbref.com/en/players/4943d9c2/Jules-Raux,https://fbref.com/en/players/4943d9c2/scout/365_euro/Jules-Raux-Scouting-Report,GK
38,DF,24.394520547945206,0,Maxime Wackers,https://fbref.com/en/players/71e6a454/Maxime-Wackers,https://fbref.com/en/players/71e6a454/scout/365_euro/Maxime-Wackers-Scouting-Report,Defender
0,MF,20.665753424657535,33,Joris Chotard,https://fbref.com/en/players/7909ffa4/Joris-Chotard,https://fbref.com/en/players/7909ffa4/scout/365_euro/Joris-Chotard-Scouting-Report,Central Midfielders
1,MF,30.202739726027396,33,Jordan Ferri,https://fbref.com/en/players/375622c5/Jordan-Ferri,https://fbref.com/en/players/375622c5/scout/365_euro/Jordan-Ferri-Scouting-Report,Central Midfielders
2,DF,23.375342465753423,32,Nicolas Cozza,https://fbref.com/en/players/8f325097/Nicolas-Cozza,https://fbref.com/en/players/8f325097/scout/365_euro/Nicolas-Cozza-Scouting-Report,Defender
3,"FW,MF",30.512328767123286,32,Florent Mollet,https://fbref.com/en/players/7e82a78f/Florent-Mollet,https://fbref.com/en/players/7e82a78f/scout/365_euro/Florent-Mollet-Scouting-Report,Attacking Midfielders
4,GK,28.36986301369863,29,Jonas Omlin,https://fbref.com/en/players/c631f952/Jonas-Omlin,https://fbref.com/en/players/c631f952/scout/365_euro/Jonas-Omlin-Scouting-Report,GK
5,DF,32.276712328767125,29,Mamadou Sakho,https://fbref.com/en/players/87935cf3/Mamadou-Sakho,https://fbref.com/en/players/87935cf3/scout/365_euro/Mamadou-Sakho-Scouting-Report,Defender
6,MF,30.421917808219177,28,Teji Savanier,https://fbref.com/en/players/6bde367b/Teji-Savanier,https://fbref.com/en/players/6bde367b/scout/365_euro/Teji-Savanier-Scouting-Report,Central Midfielders
7,DF,30.279452054794522,27,Arnaud Souquet,https://fbref.com/en/players/4e0afc5d/Arnaud-Souquet,https://fbref.com/en/players/4e0afc5d/scout/365_euro/Arnaud-Souquet-Scouting-Report,Defender
8,"FW,MF",23.983561643835618,27,Stephy Mavididi,https://fbref.com/en/players/30144daa/Stephy-Mavididi,https://fbref.com/en/players/30144daa/scout/365_euro/Stephy-Mavididi-Scouting-Report,Attacking Midfielders
9,FW,32.104109589041094,22,Valere Germain,https://fbref.com/en/players/ea0ff634/Valere-Germain,https://fbref.com/en/players/ea0ff634/scout/365_euro/Valere-Germain-Scouting-Report,Forwards
10,FW,19.39178082191781,21,Sepe Elye Wahi,https://fbref.com/en/players/0d7b6576/Sepe-Elye-Wahi,https://fbref.com/en/players/0d7b6576/scout/365_euro/Sepe-Elye-Wahi-Scouting-Report,Forwards
11,DF,19.997260273972604,20,Maxime Esteve,https://fbref.com/en/players/1a066e69/Maxime-Esteve,https://fbref.com/en/players/1a066e69/scout/365_euro/Maxime-Esteve-Scouting-Report,Defender
12,DF,26.564383561643837,19,Mihailo Ristic,https://fbref.com/en/players/ea0aa7e0/Mihailo-Ristic,https://fbref.com/en/players/ea0aa7e0/scout/365_euro/Mihailo-Ristic-Scouting-Report,Defender
13,"DF,FW",25.71232876712329,16,Junior Sambia,https://fbref.com/en/players/24eb7ed6/Junior-Sambia,https://fbref.com/en/players/24eb7ed6/scout/365_euro/Junior-Sambia-Scouting-Report,Wing-Back
14,DF,23.208219178082192,10,Thuler,https://fbref.com/en/players/db23d9fc/Thuler,https://fbref.com/en/players/db23d9fc/scout/365_euro/Thuler-Scouting-Report,Defender
15,GK,23.96712328767123,9,Dimitry Bertaud,https://fbref.com/en/players/380a15e2/Dimitry-Bertaud,https://fbref.com/en/players/380a15e2/scout/365_euro/Dimitry-Bertaud-Scouting-Report,GK
16,DF,30.923287671232877,7,Ambroise Oyongo,https://fbref.com/en/players/e3e05edf/Ambroise-Oyongo,https://fbref.com/en/players/e3e05edf/scout/365_euro/Ambroise-Oyongo-Scouting-Report,Defender
17,MF,22.273972602739725,7,Leo Leroy,https://fbref.com/en/players/fcc84a07/Leo-Leroy,https://fbref.com/en/players/fcc84a07/scout/365_euro/Leo-Leroy-Scouting-Report,Central Midfielders
18,FW,28.06027397260274,4,Gaetan Laborde,https://fbref.com/en/players/7cdda3bf/Gaetan-Laborde,https://fbref.com/en/players/7cdda3bf/scout/365_euro/Gaetan-Laborde-Scouting-Report,Forwards
19,"MF,FW",21.832876712328765,3,Nicholas Gioacchini,https://fbref.com/en/players/79ab7593/Nicholas-Gioacchini,https://fbref.com/en/players/79ab7593/scout/365_euro/Nicholas-Gioacchini-Scouting-Report,Attacking Midfielders
20,"MF,FW",32.21369863013699,3,Remy Cabella,https://fbref.com/en/players/148e136f/Remy-Cabella,https://fbref.com/en/players/148e136f/scout/365_euro/Remy-Cabella-Scouting-Report,Attacking Midfielders
21,FW,30.624657534246577,3,Andy Delort,https://fbref.com/en/players/d33c706e/Andy-Delort,https://fbref.com/en/players/d33c706e/scout/365_euro/Andy-Delort-Scouting-Report,Forwards
22,"MF,FW",20.087671232876712,3,Sacha Delaye,https://fbref.com/en/players/e4448c8c/Sacha-Delaye,https://fbref.com/en/players/e4448c8c/scout/365_euro/Sacha-Delaye-Scouting-Report,Attacking Midfielders
23,"FW,MF",19.654794520547945,1,Beni Makouana,https://fbref.com/en/players/654f49ca/Beni-Makouana,https://fbref.com/en/players/654f49ca/scout/365_euro/Beni-Makouana-Scouting-Report,Attacking Midfielders
24,DF,31.646575342465752,0,Pedro Mendes,https://fbref.com/en/players/6690ef25/Pedro-Mendes,https://fbref.com/en/players/6690ef25/scout/365_euro/Pedro-Mendes-Scouting-Report,Defender
25,"MF,FW",21.10958904109589,0,Yanis Guermouche,https://fbref.com/en/players/642f9f79/Yanis-Guermouche,https://fbref.com/en/players/642f9f79/scout/365_euro/Yanis-Guermouche-Scouting-Report,Attacking Midfielders
26,MF,21.736986301369864,0,Gabriel Bares,https://fbref.com/en/players/5475a510/Gabriel-Bares,https://fbref.com/en/players/5475a510/scout/365_euro/Gabriel-Bares-Scouting-Report,Central Midfielders
27,GK,23.073972602739726,0,Matis Carvalho,https://fbref.com/en/players/8608f269/Matis-Carvalho,https://fbref.com/en/players/8608f269/scout/365_euro/Matis-Carvalho-Scouting-Report,GK
28,DF,19.221917808219178,0,Redouane Halhal,https://fbref.com/en/players/e17c2cec/Redouane-Halhal,https://fbref.com/en/players/e17c2cec/scout/365_euro/Redouane-Halhal-Scouting-Report,Defender
29,FW,31.904109589041095,0,Petar Skuletic,https://fbref.com/en/players/d9a66c60/Petar-Skuletic,https://fbref.com/en/players/d9a66c60/scout/365_euro/Petar-Skuletic-Scouting-Report,Forwards
30,DF,25.91780821917808,0,Mathias Suarez,https://fbref.com/en/players/0c291a1a/Mathias-Suarez,https://fbref.com/en/players/0c291a1a/scout/365_euro/Mathias-Suarez-Scouting-Report,Defender
31,DF,19.506849315068493,0,Enzo Tchato,https://fbref.com/en/players/7f783431/Enzo-Tchato,https://fbref.com/en/players/7f783431/scout/365_euro/Enzo-Tchato-Scouting-Report,Defender
32,MF,22.008219178082193,0,Thibaut Vargas,https://fbref.com/en/players/e9743d8a/Thibaut-Vargas,https://fbref.com/en/players/e9743d8a/scout/365_euro/Thibaut-Vargas-Scouting-Report,Central Midfielders
0,GK,23.334246575342465,38,Alban Lafont,https://fbref.com/en/players/4e7db402/Alban-Lafont,https://fbref.com/en/players/4e7db402/scout/365_euro/Alban-Lafont-Scouting-Report,GK
1,"DF,MF",30.265753424657536,36,Andrei Girotto,https://fbref.com/en/players/3befc2b6/Andrei-Girotto,https://fbref.com/en/players/3befc2b6/scout/365_euro/Andrei-Girotto-Scouting-Report,Defender
2,"MF,FW",24.397260273972602,35,Ludovic Blas,https://fbref.com/en/players/6191093d/Ludovic-Blas,https://fbref.com/en/players/6191093d/scout/365_euro/Ludovic-Blas-Scouting-Report,Attacking Midfielders
3,"FW,MF",23.46849315068493,34,Randal Kolo Muani,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,https://fbref.com/en/players/c0b3669f/scout/365_euro/Randal-Kolo-Muani-Scouting-Report,Attacking Midfielders
4,MF,25.005479452054793,31,Pedro Chirivella,https://fbref.com/en/players/68a26d51/Pedro-Chirivella,https://fbref.com/en/players/68a26d51/scout/365_euro/Pedro-Chirivella-Scouting-Report,Central Midfielders
5,DF,34.679452054794524,29,Nicolas Pallois,https://fbref.com/en/players/779847d6/Nicolas-Pallois,https://fbref.com/en/players/779847d6/scout/365_euro/Nicolas-Pallois-Scouting-Report,Defender
6,"FW,MF",26.86849315068493,29,Moses Simon,https://fbref.com/en/players/5f3eaaf5/Moses-Simon,https://fbref.com/en/players/5f3eaaf5/scout/365_euro/Moses-Simon-Scouting-Report,Attacking Midfielders
7,DF,27.326027397260273,28,Jean Charles Castelletto,https://fbref.com/en/players/e0f3a1f6/Jean-Charles-Castelletto,https://fbref.com/en/players/e0f3a1f6/scout/365_euro/Jean-Charles-Castelletto-Scouting-Report,Defender
8,DF,29.958904109589042,22,Dennis Appiah,https://fbref.com/en/players/feb5d3ab/Dennis-Appiah,https://fbref.com/en/players/feb5d3ab/scout/365_euro/Dennis-Appiah-Scouting-Report,Defender
9,DF,20.024657534246575,21,Quentin Merlin,https://fbref.com/en/players/0bfca6a1/Quentin-Merlin,https://fbref.com/en/players/0bfca6a1/scout/365_euro/Quentin-Merlin-Scouting-Report,Defender
10,DF,31.876712328767123,21,Fabio,https://fbref.com/en/players/bc7b4580/Fabio,https://fbref.com/en/players/bc7b4580/scout/365_euro/Fabio-Scouting-Report,Defender
11,MF,27.32054794520548,17,Wylan Cyprien,https://fbref.com/en/players/3e092724/Wylan-Cyprien,https://fbref.com/en/players/3e092724/scout/365_euro/Wylan-Cyprien-Scouting-Report,Central Midfielders
12,MF,25.783561643835615,16,Samuel Moutoussamy,https://fbref.com/en/players/af0c835b/Samuel-Moutoussamy,https://fbref.com/en/players/af0c835b/scout/365_euro/Samuel-Moutoussamy-Scouting-Report,Central Midfielders
13,DF,31.561643835616437,13,Sebastien Corchia,https://fbref.com/en/players/0e7ccfc4/Sebastien-Corchia,https://fbref.com/en/players/0e7ccfc4/scout/365_euro/Sebastien-Corchia-Scouting-Report,Defender
14,"FW,MF",23.446575342465753,10,Osman Bukari,https://fbref.com/en/players/eab85789/Osman-Bukari,https://fbref.com/en/players/eab85789/scout/365_euro/Osman-Bukari-Scouting-Report,Attacking Midfielders
15,"FW,DF",25.91780821917808,9,Marcus Coco,https://fbref.com/en/players/3010aefb/Marcus-Coco,https://fbref.com/en/players/3010aefb/scout/365_euro/Marcus-Coco-Scouting-Report,Wing-Back
16,FW,30.75890410958904,9,Kalifa Coulibaly,https://fbref.com/en/players/9980269a/Kalifa-Coulibaly,https://fbref.com/en/players/9980269a/scout/365_euro/Kalifa-Coulibaly-Scouting-Report,Forwards
17,DF,30.394520547945206,7,Charles Traore,https://fbref.com/en/players/de488e56/Charles-Traore,https://fbref.com/en/players/de488e56/scout/365_euro/Charles-Traore-Scouting-Report,Defender
18,MF,25.454794520547946,5,Roli Pereira de Sa,https://fbref.com/en/players/60f58477/Roli-Pereira-de-Sa,https://fbref.com/en/players/60f58477/scout/365_euro/Roli-Pereira-de-Sa-Scouting-Report,Central Midfielders
19,"FW,MF",20.77260273972603,4,Willem Geubbels,https://fbref.com/en/players/9836e892/Willem-Geubbels,https://fbref.com/en/players/9836e892/scout/365_euro/Willem-Geubbels-Scouting-Report,Attacking Midfielders
20,"MF,FW",30.46849315068493,2,Renaud Emond,https://fbref.com/en/players/5c9ac7f0/Renaud-Emond,https://fbref.com/en/players/5c9ac7f0/scout/365_euro/Renaud-Emond-Scouting-Report,Attacking Midfielders
21,DF,22.123287671232877,2,Abdoulaye Sylla,https://fbref.com/en/players/2aeb43f1/Abdoulaye-Sylla,https://fbref.com/en/players/2aeb43f1/scout/365_euro/Abdoulaye-Sylla-Scouting-Report,Defender
22,"FW,MF",24.93972602739726,0,Jean Kevin Augustin,https://fbref.com/en/players/97bfa797/Jean-Kevin-Augustin,https://fbref.com/en/players/97bfa797/scout/365_euro/Jean-Kevin-Augustin-Scouting-Report,Attacking Midfielders
23,MF,20.353424657534248,0,Mohamed Achi,https://fbref.com/en/players/1e93fc5d/Mohamed-Achi,https://fbref.com/en/players/1e93fc5d/scout/365_euro/Mohamed-Achi-Scouting-Report,Central Midfielders
24,MF,19.693150684931506,0,Lohann Doucet,https://fbref.com/en/players/dff0c299/Lohann-Doucet,https://fbref.com/en/players/dff0c299/scout/365_euro/Lohann-Doucet-Scouting-Report,Central Midfielders
25,"DF,FW",20.898630136986302,0,Yannis MBemba,https://fbref.com/en/players/080de72a/Yannis-MBemba,https://fbref.com/en/players/080de72a/scout/365_euro/Yannis-MBemba-Scouting-Report,Wing-Back
26,GK,25.915068493150685,0,Remy Descamps,https://fbref.com/en/players/477e50ce/Remy-Descamps,https://fbref.com/en/players/477e50ce/scout/365_euro/Remy-Descamps-Scouting-Report,GK
27,"FW,MF",27.86027397260274,0,Anthony Limbombe,https://fbref.com/en/players/ccee698e/Anthony-Limbombe,https://fbref.com/en/players/ccee698e/scout/365_euro/Anthony-Limbombe-Scouting-Report,Attacking Midfielders
28,MF,20.126027397260273,0,Gor Manvelyan,https://fbref.com/en/players/55d360a3/Gor-Manvelyan,https://fbref.com/en/players/55d360a3/scout/365_euro/Gor-Manvelyan-Scouting-Report,Central Midfielders
29,GK,34.0027397260274,0,Denis Petric,https://fbref.com/en/players/dab1b8dc/Denis-Petric,https://fbref.com/en/players/dab1b8dc/scout/365_euro/Denis-Petric-Scouting-Report,GK
30,DF,20.13150684931507,0,Robin Voisine,https://fbref.com/en/players/686a7a31/Robin-Voisine,https://fbref.com/en/players/686a7a31/scout/365_euro/Robin-Voisine-Scouting-Report,Defender
0,DF,25.0,36,Martin Valjent,https://fbref.com/en/players/f2c6ac01/Martin-Valjent,https://fbref.com/en/players/f2c6ac01/scout/365_euro/Martin-Valjent-Scouting-Report,Defender
1,DF,24.0,35,Pablo Maffeo,https://fbref.com/en/players/5db04597/Pablo-Maffeo,https://fbref.com/en/players/5db04597/scout/365_euro/Pablo-Maffeo-Scouting-Report,Defender
2,"MF,FW",33.0,33,Dani Rodriguez,https://fbref.com/en/players/70f8e0bd/Dani-Rodriguez,https://fbref.com/en/players/70f8e0bd/scout/365_euro/Dani-Rodriguez-Scouting-Report,Attacking Midfielders
3,DF,27.0,24,Brian Olivan,https://fbref.com/en/players/a3e4bf46/Brian-Olivan,https://fbref.com/en/players/a3e4bf46/scout/365_euro/Brian-Olivan-Scouting-Report,Defender
4,MF,25.0,23,Iddrisu Baba,https://fbref.com/en/players/bfd381b3/Iddrisu-Baba,https://fbref.com/en/players/bfd381b3/scout/365_euro/Iddrisu-Baba-Scouting-Report,Central Midfielders
5,GK,36.0,21,Manolo Reina,https://fbref.com/en/players/605eb473/Manolo-Reina,https://fbref.com/en/players/605eb473/scout/365_euro/Manolo-Reina-Scouting-Report,GK
6,DF,33.0,21,Jaume Costa,https://fbref.com/en/players/808d48f3/Jaume-Costa,https://fbref.com/en/players/808d48f3/scout/365_euro/Jaume-Costa-Scouting-Report,Defender
7,"MF,FW",24.0,19,Antonio Sanchez,https://fbref.com/en/players/a254bbe0/Antonio-Sanchez,https://fbref.com/en/players/a254bbe0/scout/365_euro/Antonio-Sanchez-Scouting-Report,Attacking Midfielders
8,FW,34.0,19,Angel Rodriguez,https://fbref.com/en/players/8cfc2f69/Angel-Rodriguez,https://fbref.com/en/players/8cfc2f69/scout/365_euro/Angel-Rodriguez-Scouting-Report,Forwards
9,"FW,MF",20.0,17,Takefusa Kubo,https://fbref.com/en/players/16aa3654/Takefusa-Kubo,https://fbref.com/en/players/16aa3654/scout/365_euro/Takefusa-Kubo-Scouting-Report,Attacking Midfielders
10,DF,29.0,17,Antonio Raillo,https://fbref.com/en/players/b857bd29/Antonio-Raillo,https://fbref.com/en/players/b857bd29/scout/365_euro/Antonio-Raillo-Scouting-Report,Defender
11,MF,37.0,17,Salva Sevilla,https://fbref.com/en/players/75bd85ea/Salva-Sevilla,https://fbref.com/en/players/75bd85ea/scout/365_euro/Salva-Sevilla-Scouting-Report,Central Midfielders
12,DF,26.0,17,Franco Russo,https://fbref.com/en/players/b75ac54b/Franco-Russo,https://fbref.com/en/players/b75ac54b/scout/365_euro/Franco-Russo-Scouting-Report,Defender
13,MF,27.0,17,Inigo Ruiz de Galarreta,https://fbref.com/en/players/91f7631f/Inigo-Ruiz-de-Galarreta,https://fbref.com/en/players/91f7631f/scout/365_euro/Inigo-Ruiz-de-Galarreta-Scouting-Report,Central Midfielders
14,FW,27.0,16,Vedat Muriqi,https://fbref.com/en/players/0cadc46d/Vedat-Muriqi,https://fbref.com/en/players/0cadc46d/scout/365_euro/Vedat-Muriqi-Scouting-Report,Forwards
15,"MF,FW",20.0,15,Lee Kangin,https://fbref.com/en/players/8455ad90/Lee-Kangin,https://fbref.com/en/players/8455ad90/scout/365_euro/Lee-Kangin-Scouting-Report,Attacking Midfielders
16,GK,27.0,14,Sergio Rico,https://fbref.com/en/players/5f0241b2/Sergio-Rico,https://fbref.com/en/players/5f0241b2/scout/365_euro/Sergio-Rico-Scouting-Report,GK
17,MF,30.0,12,Rodrigo Battaglia,https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia,https://fbref.com/en/players/d637fc22/scout/365_euro/Rodrigo-Battaglia-Scouting-Report,Central Midfielders
18,"FW,MF",25.0,9,Amath,https://fbref.com/en/players/f3b1d9a2/Amath,https://fbref.com/en/players/f3b1d9a2/scout/365_euro/Amath-Scouting-Report,Attacking Midfielders
19,FW,20.0,9,Fernando Nino,https://fbref.com/en/players/81d5c497/Fernando-Nino,https://fbref.com/en/players/81d5c497/scout/365_euro/Fernando-Nino-Scouting-Report,Forwards
20,FW,28.0,6,Abdon Prats,https://fbref.com/en/players/d1b060e2/Abdon-Prats,https://fbref.com/en/players/d1b060e2/scout/365_euro/Abdon-Prats-Scouting-Report,Forwards
21,FW,22.0,5,Jordi Mboula,https://fbref.com/en/players/4887118d/Jordi-Mboula,https://fbref.com/en/players/4887118d/scout/365_euro/Jordi-Mboula-Scouting-Report,Forwards
22,"DF,MF",29.0,3,Aleksandar Sedlar,https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar,https://fbref.com/en/players/a35134ae/scout/365_euro/Aleksandar-Sedlar-Scouting-Report,Defender
23,DF,26.0,3,Giovanni Gonzalez,https://fbref.com/en/players/1fc474ae/Giovanni-Gonzalez,https://fbref.com/en/players/1fc474ae/scout/365_euro/Giovanni-Gonzalez-Scouting-Report,Defender
24,DF,24.0,2,Joan Sastre Vanrell,https://fbref.com/en/players/f9acf8bf/Joan-Sastre-Vanrell,https://fbref.com/en/players/f9acf8bf/scout/365_euro/Joan-Sastre-Vanrell-Scouting-Report,Defender
25,GK,21.0,2,Leonardo Roman,https://fbref.com/en/players/924ff27e/Leonardo-Roman,https://fbref.com/en/players/924ff27e/scout/365_euro/Leonardo-Roman-Scouting-Report,GK
26,"FW,MF",30.0,1,Lago Junior,https://fbref.com/en/players/360d70f8/Lago-Junior,https://fbref.com/en/players/360d70f8/scout/365_euro/Lago-Junior-Scouting-Report,Attacking Midfielders
27,"FW,MF",,1,Javier Llabres,https://fbref.com/en/players/38b0cf42/Javier-Llabres,https://fbref.com/en/players/38b0cf42/scout/365_euro/Javier-Llabres-Scouting-Report,Attacking Midfielders
28,FW,20.0,1,Matthew Hoppe,https://fbref.com/en/players/1bc432b7/Matthew-Hoppe,https://fbref.com/en/players/1bc432b7/scout/365_euro/Matthew-Hoppe-Scouting-Report,Forwards
29,MF,25.0,1,Aleix Febas,https://fbref.com/en/players/38126309/Aleix-Febas,https://fbref.com/en/players/38126309/scout/365_euro/Aleix-Febas-Scouting-Report,Central Midfielders
30,GK,24.0,1,Dominik Greif,https://fbref.com/en/players/30061f53/Dominik-Greif,https://fbref.com/en/players/30061f53/scout/365_euro/Dominik-Greif-Scouting-Report,GK
31,DF,21.0,1,Josep Antoni Gaya,https://fbref.com/en/players/4a5f2032/Josep-Antoni-Gaya,https://fbref.com/en/players/4a5f2032/scout/365_euro/Josep-Antoni-Gaya-Scouting-Report,Defender
32,MF,30.0,0,Clement Grenier,https://fbref.com/en/players/8b298f56/Clement-Grenier,https://fbref.com/en/players/8b298f56/scout/365_euro/Clement-Grenier-Scouting-Report,Central Midfielders
33,DF,20.0,0,Marc Carmona Tormo,https://fbref.com/en/players/e085f0fa/Marc-Carmona-Tormo,https://fbref.com/en/players/e085f0fa/scout/365_euro/Marc-Carmona-Tormo-Scouting-Report,Defender
34,DF,,0,Marcos Fernandez Cozar,https://fbref.com/en/players/f774dce2/Marcos-Fernandez-Cozar,https://fbref.com/en/players/f774dce2/scout/365_euro/Marcos-Fernandez-Cozar-Scouting-Report,Defender
35,FW,19.0,0,Pablo Galvez,https://fbref.com/en/players/191a897a/Pablo-Galvez,https://fbref.com/en/players/191a897a/scout/365_euro/Pablo-Galvez-Scouting-Report,Forwards
36,MF,21.0,0,Tomas Giaquinto,https://fbref.com/en/players/df44f120/Tomas-Giaquinto,https://fbref.com/en/players/df44f120/scout/365_euro/Tomas-Giaquinto-Scouting-Report,Central Midfielders
37,GK,19.0,0,Pere Joan,https://fbref.com/en/players/a2b1bca6/Pere-Joan,https://fbref.com/en/players/a2b1bca6/scout/365_euro/Pere-Joan-Scouting-Report,GK
38,DF,20.0,0,Miguelito,https://fbref.com/en/players/ebb24144/Miguelito,https://fbref.com/en/players/ebb24144/scout/365_euro/Miguelito-Scouting-Report,Defender
39,MF,20.0,0,Victor Mollejo,https://fbref.com/en/players/23fffc06/Victor-Mollejo,https://fbref.com/en/players/23fffc06/scout/365_euro/Victor-Mollejo-Scouting-Report,Central Midfielders
40,GK,16.0,0,Ferran Quetglas,https://fbref.com/en/players/103d9525/Ferran-Quetglas,https://fbref.com/en/players/103d9525/scout/365_euro/Ferran-Quetglas-Scouting-Report,GK
