,Pos,Age,Starts,Player,urls,scouting_url,position_group
5,DF,21.0,25,Luca Kilian,https://fbref.com/en/players/610aa1e9/Luca-Kilian,https://fbref.com/en/players/610aa1e9/scout/365_euro/Luca-Kilian-Scouting-Report,Defender
6,"MF,FW",29.0,24,Mark Uth,https://fbref.com/en/players/a3ddb1b9/Mark-Uth,https://fbref.com/en/players/a3ddb1b9/scout/365_euro/Mark-Uth-Scouting-Report,Attacking Midfielders
7,"MF,FW",23.0,22,Dejan Ljubicic,https://fbref.com/en/players/c455a2b2/Dejan-Ljubicic,https://fbref.com/en/players/c455a2b2/scout/365_euro/Dejan-Ljubicic-Scouting-Report,Attacking Midfielders
8,GK,26.0,21,Marvin Schwabe,https://fbref.com/en/players/87436846/Marvin-Schwabe,https://fbref.com/en/players/87436846/scout/365_euro/Marvin-Schwabe-Scouting-Report,GK
9,MF,26.0,20,Ellyes Skhiri,https://fbref.com/en/players/c2211709/Ellyes-Skhiri,https://fbref.com/en/players/c2211709/scout/365_euro/Ellyes-Skhiri-Scouting-Report,Central Midfielders
10,DF,25.0,20,Timo Hubers,https://fbref.com/en/players/94302c52/Timo-Hubers,https://fbref.com/en/players/94302c52/scout/365_euro/Timo-Hubers-Scouting-Report,Defender
11,MF,26.0,20,Ondrej Duda,https://fbref.com/en/players/79ca3e23/Ondrej-Duda,https://fbref.com/en/players/79ca3e23/scout/365_euro/Ondrej-Duda-Scouting-Report,Central Midfielders
12,DF,31.0,16,Rafael Czichos,https://fbref.com/en/players/b0a0698b/Rafael-Czichos,https://fbref.com/en/players/b0a0698b/scout/365_euro/Rafael-Czichos-Scouting-Report,Defender
13,FW,30.0,13,Sebastian Andersson,https://fbref.com/en/players/b4cf5806/Sebastian-Andersson,https://fbref.com/en/players/b4cf5806/scout/365_euro/Sebastian-Andersson-Scouting-Report,Forwards
14,GK,28.0,13,Timo Horn,https://fbref.com/en/players/3cd9e95a/Timo-Horn,https://fbref.com/en/players/3cd9e95a/scout/365_euro/Timo-Horn-Scouting-Report,GK
15,"MF,FW",19.0,10,Jan Thielmann,https://fbref.com/en/players/fd53759d/Jan-Thielmann,https://fbref.com/en/players/fd53759d/scout/365_euro/Jan-Thielmann-Scouting-Report,Attacking Midfielders
16,DF,26.0,6,Kingsley Ehizibue,https://fbref.com/en/players/76b2817e/Kingsley-Ehizibue,https://fbref.com/en/players/76b2817e/scout/365_euro/Kingsley-Ehizibue-Scouting-Report,Defender
17,"MF,FW",26.0,6,Louis Schaub,https://fbref.com/en/players/b50ec54b/Louis-Schaub,https://fbref.com/en/players/b50ec54b/scout/365_euro/Louis-Schaub-Scouting-Report,Attacking Midfielders
18,DF,24.0,5,Jorge Mere,https://fbref.com/en/players/9f979eb2/Jorge-Mere,https://fbref.com/en/players/9f979eb2/scout/365_euro/Jorge-Mere-Scouting-Report,Defender
19,DF,24.0,3,Jannes Horn,https://fbref.com/en/players/2b83fa49/Jannes-Horn,https://fbref.com/en/players/2b83fa49/scout/365_euro/Jannes-Horn-Scouting-Report,Defender
20,DF,23.0,2,Julian Chabot,https://fbref.com/en/players/ae7058f9/Julian-Chabot,https://fbref.com/en/players/ae7058f9/scout/365_euro/Julian-Chabot-Scouting-Report,Defender
21,"DF,MF",28.0,1,Kingsley Schindler,https://fbref.com/en/players/bd527260/Kingsley-Schindler,https://fbref.com/en/players/bd527260/scout/365_euro/Kingsley-Schindler-Scouting-Report,Defender
22,"FW,MF",19.0,0,Tim Lemperle,https://fbref.com/en/players/792ffa71/Tim-Lemperle,https://fbref.com/en/players/792ffa71/scout/365_euro/Tim-Lemperle-Scouting-Report,Attacking Midfielders
23,"FW,MF",21.0,0,Tomas Ostrak,https://fbref.com/en/players/3ba95f20/Tomas-Ostrak,https://fbref.com/en/players/3ba95f20/scout/365_euro/Tomas-Ostrak-Scouting-Report,Attacking Midfielders
24,MF,20.0,0,Mathias Olesen,https://fbref.com/en/players/86adbcc7/Mathias-Olesen,https://fbref.com/en/players/86adbcc7/scout/365_euro/Mathias-Olesen-Scouting-Report,Central Midfielders
25,DF,20.0,0,Noah Katterbach,https://fbref.com/en/players/e27de4fa/Noah-Katterbach,https://fbref.com/en/players/e27de4fa/scout/365_euro/Noah-Katterbach-Scouting-Report,Defender
26,DF,18.0,0,Bright Arrey Mbi,https://fbref.com/en/players/1394bf42/Bright-Arrey-Mbi,https://fbref.com/en/players/1394bf42/scout/365_euro/Bright-Arrey-Mbi-Scouting-Report,Defender
27,MF,25.0,0,Niklas Hauptmann,https://fbref.com/en/players/7367d26f/Niklas-Hauptmann,https://fbref.com/en/players/7367d26f/scout/365_euro/Niklas-Hauptmann-Scouting-Report,Central Midfielders
28,GK,24.0,0,Matthias Kobbing,https://fbref.com/en/players/56478677/Matthias-Kobbing,https://fbref.com/en/players/56478677/scout/365_euro/Matthias-Kobbing-Scouting-Report,GK
29,MF,19.0,0,Marvin Obuz,https://fbref.com/en/players/14025baf/Marvin-Obuz,https://fbref.com/en/players/14025baf/scout/365_euro/Marvin-Obuz-Scouting-Report,Central Midfielders
30,GK,17.0,0,Jonas Urbig,https://fbref.com/en/players/925bbcdc/Jonas-Urbig,https://fbref.com/en/players/925bbcdc/scout/365_euro/Jonas-Urbig-Scouting-Report,GK
0,GK,33.0,34,Rafal Gikiewicz,https://fbref.com/en/players/17376543/Rafal-Gikiewicz,https://fbref.com/en/players/17376543/scout/365_euro/Rafal-Gikiewicz-Scouting-Report,GK
1,DF,22.0,30,Reece Oxford,https://fbref.com/en/players/8b6e0db2/Reece-Oxford,https://fbref.com/en/players/8b6e0db2/scout/365_euro/Reece-Oxford-Scouting-Report,Defender
2,DF,30.0,29,Jeffrey Gouweleeuw,https://fbref.com/en/players/1025db8e/Jeffrey-Gouweleeuw,https://fbref.com/en/players/1025db8e/scout/365_euro/Jeffrey-Gouweleeuw-Scouting-Report,Defender
3,MF,23.0,27,Niklas Dorsch,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch,https://fbref.com/en/players/7f73bdf4/scout/365_euro/Niklas-Dorsch-Scouting-Report,Central Midfielders
4,DF,23.0,27,Robert Gumny,https://fbref.com/en/players/1df0c0b9/Robert-Gumny,https://fbref.com/en/players/1df0c0b9/scout/365_euro/Robert-Gumny-Scouting-Report,Defender
5,DF,24.0,26,Iago,https://fbref.com/en/players/054849d2/Iago,https://fbref.com/en/players/054849d2/scout/365_euro/Iago-Scouting-Report,Defender
6,"MF,FW",22.0,26,Ruben Vargas,https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,https://fbref.com/en/players/6ecbddf6/scout/365_euro/Ruben-Vargas-Scouting-Report,Attacking Midfielders
7,"MF,FW",30.0,25,Andre Hahn,https://fbref.com/en/players/cd82452e/Andre-Hahn,https://fbref.com/en/players/cd82452e/scout/365_euro/Andre-Hahn-Scouting-Report,Attacking Midfielders
8,"DF,MF",33.0,24,Daniel Caligiuri,https://fbref.com/en/players/d1273f09/Daniel-Caligiuri,https://fbref.com/en/players/d1273f09/scout/365_euro/Daniel-Caligiuri-Scouting-Report,Defender
9,MF,22.0,21,Arne Maier,https://fbref.com/en/players/ab700320/Arne-Maier,https://fbref.com/en/players/ab700320/scout/365_euro/Arne-Maier-Scouting-Report,Central Midfielders
10,"FW,MF",27.0,15,Michael Gregoritsch,https://fbref.com/en/players/8e235926/Michael-Gregoritsch,https://fbref.com/en/players/8e235926/scout/365_euro/Michael-Gregoritsch-Scouting-Report,Attacking Midfielders
11,"MF,DF",24.0,15,Mads Pedersen,https://fbref.com/en/players/582a5247/Mads-Pedersen,https://fbref.com/en/players/582a5247/scout/365_euro/Mads-Pedersen-Scouting-Report,Defensive-Midfielders
12,FW,30.0,13,Florian Niederlechner,https://fbref.com/en/players/d6862409/Florian-Niederlechner,https://fbref.com/en/players/d6862409/scout/365_euro/Florian-Niederlechner-Scouting-Report,Forwards
13,"FW,MF",22.0,11,Andi Zeqiri,https://fbref.com/en/players/d01231f0/Andi-Zeqiri,https://fbref.com/en/players/d01231f0/scout/365_euro/Andi-Zeqiri-Scouting-Report,Attacking Midfielders
14,MF,26.0,9,Carlos Gruezo,https://fbref.com/en/players/f2dd9a21/Carlos-Gruezo,https://fbref.com/en/players/f2dd9a21/scout/365_euro/Carlos-Gruezo-Scouting-Report,Central Midfielders
15,DF,25.0,9,Raphael Framberger,https://fbref.com/en/players/626fab5f/Raphael-Framberger,https://fbref.com/en/players/626fab5f/scout/365_euro/Raphael-Framberger-Scouting-Report,Defender
16,DF,23.0,8,Ohis Felix Uduokhai,https://fbref.com/en/players/677da306/Ohis-Felix-Uduokhai,https://fbref.com/en/players/677da306/scout/365_euro/Ohis-Felix-Uduokhai-Scouting-Report,Defender
17,MF,31.0,5,Jan Moravek,https://fbref.com/en/players/e7d22eae/Jan-Moravek,https://fbref.com/en/players/e7d22eae/scout/365_euro/Jan-Moravek-Scouting-Report,Central Midfielders
18,"FW,MF",18.0,4,Ricardo Pepi,https://fbref.com/en/players/a2b1ed42/Ricardo-Pepi,https://fbref.com/en/players/a2b1ed42/scout/365_euro/Ricardo-Pepi-Scouting-Report,Attacking Midfielders
19,"MF,DF",31.0,4,Tobias Strobl,https://fbref.com/en/players/17780d2b/Tobias-Strobl,https://fbref.com/en/players/17780d2b/scout/365_euro/Tobias-Strobl-Scouting-Report,Defensive-Midfielders
