,Name,URL,ratings,team_id
5,Thiago Silva,https://www.fotmob.com/players/80562/thiago-silva,7.28,8455
6,Kalidou Koulibaly,https://www.fotmob.com/players/210428/kalidou-koulibaly,7.18,8455
7,Ben Chilwell,https://www.fotmob.com/players/672469/ben-chilwell,7.02,8455
8,Trevoh Chalobah,https://www.fotmob.com/players/793907/trevoh-chalobah,6.67,8455
9,Reece James,https://www.fotmob.com/players/807729/reece-james,7.41,8455
10,Marc Cucurella,https://www.fotmob.com/players/873289/marc-cucurella,7.02,8455
11,Wesley Fofana,https://www.fotmob.com/players/917802/wesley-fofana,7.27,8455
12,Benoit Badiashile,https://www.fotmob.com/players/955376/benoit-badiashile,7.33,8455
13,Mateo Kovacic,https://www.fotmob.com/players/239219/mateo-kovacic,6.97,8455
14,N'Golo Kanté,https://www.fotmob.com/players/319300/ngolo-kant,7.42,8455
15,Denis Zakaria,https://www.fotmob.com/players/598355/denis-zakaria,6.39,8455
16,Ruben Loftus-Cheek,https://www.fotmob.com/players/604982/ruben-loftus-cheek,6.97,8455
17,Mason Mount,https://www.fotmob.com/players/750032/mason-mount,6.91,8455
18,Conor Gallagher,https://www.fotmob.com/players/966027/conor-gallagher,6.66,8455
19,Carney Chukwuemeka,https://www.fotmob.com/players/1089685/carney-chukwuemeka,6.58,8455
20,Enzo Fernández,https://www.fotmob.com/players/1137705/enzo-fernndez,7.42,8455
21,Lewis Hall,https://www.fotmob.com/players/1197655/lewis-hall,6.95,8455
22,Pierre-Emerick Aubameyang,https://www.fotmob.com/players/150565/pierre-emerick-aubameyang,6.28,8455
23,Raheem Sterling,https://www.fotmob.com/players/246575/raheem-sterling,6.87,8455
24,Hakim Ziyech,https://www.fotmob.com/players/360559/hakim-ziyech,6.55,8455
25,Christian Pulisic,https://www.fotmob.com/players/688295/christian-pulisic,6.45,8455
26,Kai Havertz,https://www.fotmob.com/players/749736/kai-havertz,6.98,8455
27,Joao Félix,https://www.fotmob.com/players/794427/joao-flix,6.78,8455
28,Mykhaylo Mudryk,https://www.fotmob.com/players/976506/mykhaylo-mudryk,6.45,8455
29,Armando Broja,https://www.fotmob.com/players/1077975/armando-broja,6.34,8455
30,Noni Madueke,https://www.fotmob.com/players/1084981/noni-madueke,6.87,8455
31,David Datro Fofana,https://www.fotmob.com/players/1207581/david-datro-fofana,6.54,8455
